Token	POS-Tag	OOV	Id	Index	Granularidade	Documento
O	DET	0	1	0	0	O Brasil registrou crescimento econômico no último trimestre .
Brasil	PROPN	0	1	1	0	O Brasil registrou crescimento econômico no último trimestre .
registrou	VERB	0	1	2	0	O Brasil registrou crescimento econômico no último trimestre .
crescimento	NOUN	0	1	3	0	O Brasil registrou crescimento econômico no último trimestre .
econômico	ADJ	0	1	4	0	O Brasil registrou crescimento econômico no último trimestre .
no	ADP	0	1	5	0	O Brasil registrou crescimento econômico no último trimestre .
último	ADJ	0	1	6	0	O Brasil registrou crescimento econômico no último trimestre .
trimestre	NOUN	1	1	7	0	O Brasil registrou crescimento econômico no último trimestre .
.	PUNCT	0	1	8	0	O Brasil registrou crescimento econômico no último trimestre .
0	['DET', 'PROPN', 'VERB', 'NOUN', 'ADJ', 'ADP', 'ADJ', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 1, 0]	1	0	1	O Brasil registrou crescimento econômico no último trimestre .
Pesquisadores	NOUN	1	2	0	0	Pesquisadores desenvolveram uma nova tecnologia para energia solar .
desenvolveram	VERB	0	2	1	0	Pesquisadores desenvolveram uma nova tecnologia para energia solar .
uma	DET	0	2	2	0	Pesquisadores desenvolveram uma nova tecnologia para energia solar .
nova	ADJ	0	2	3	0	Pesquisadores desenvolveram uma nova tecnologia para energia solar .
tecnologia	NOUN	0	2	4	0	Pesquisadores desenvolveram uma nova tecnologia para energia solar .
para	ADP	0	2	5	0	Pesquisadores desenvolveram uma nova tecnologia para energia solar .
energia	NOUN	0	2	6	0	Pesquisadores desenvolveram uma nova tecnologia para energia solar .
solar	ADJ	0	2	7	0	Pesquisadores desenvolveram uma nova tecnologia para energia solar .
.	PUNCT	0	2	8	0	Pesquisadores desenvolveram uma nova tecnologia para energia solar .
1	['NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']	[1, 0, 0, 0, 0, 0, 0, 0, 0]	2	1	1	Pesquisadores desenvolveram uma nova tecnologia para energia solar .
A	DET	0	3	0	0	A seleção brasileira venceu a partida por três a zero .
seleção	NOUN	0	3	1	0	A seleção brasileira venceu a partida por três a zero .
brasileira	ADJ	0	3	2	0	A seleção brasileira venceu a partida por três a zero .
venceu	VERB	0	3	3	0	A seleção brasileira venceu a partida por três a zero .
a	DET	0	3	4	0	A seleção brasileira venceu a partida por três a zero .
partida	NOUN	0	3	5	0	A seleção brasileira venceu a partida por três a zero .
por	ADP	0	3	6	0	A seleção brasileira venceu a partida por três a zero .
três	NUM	0	3	7	0	A seleção brasileira venceu a partida por três a zero .
a	ADP	0	3	8	0	A seleção brasileira venceu a partida por três a zero .
zero	NUM	0	3	9	0	A seleção brasileira venceu a partida por três a zero .
.	PUNCT	0	3	10	0	A seleção brasileira venceu a partida por três a zero .
2	['DET', 'NOUN', 'ADJ', 'VERB', 'DET', 'NOUN', 'ADP', 'NUM', 'ADP', 'NUM', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	3	2	1	A seleção brasileira venceu a partida por três a zero .
A	DET	0	4	0	0	A inflação apresentou queda durante o mês de abril .
inflação	NOUN	0	4	1	0	A inflação apresentou queda durante o mês de abril .
apresentou	VERB	0	4	2	0	A inflação apresentou queda durante o mês de abril .
queda	NOUN	0	4	3	0	A inflação apresentou queda durante o mês de abril .
durante	ADP	0	4	4	0	A inflação apresentou queda durante o mês de abril .
o	DET	0	4	5	0	A inflação apresentou queda durante o mês de abril .
mês	NOUN	0	4	6	0	A inflação apresentou queda durante o mês de abril .
de	ADP	0	4	7	0	A inflação apresentou queda durante o mês de abril .
abril	NOUN	0	4	8	0	A inflação apresentou queda durante o mês de abril .
.	PUNCT	0	4	9	0	A inflação apresentou queda durante o mês de abril .
3	['DET', 'NOUN', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	4	3	1	A inflação apresentou queda durante o mês de abril .
Universidades	NOUN	1	5	0	0	Universidades federais receberam novos investimentos em pesquisa .
federais	ADJ	0	5	1	0	Universidades federais receberam novos investimentos em pesquisa .
receberam	VERB	0	5	2	0	Universidades federais receberam novos investimentos em pesquisa .
novos	ADJ	0	5	3	0	Universidades federais receberam novos investimentos em pesquisa .
investimentos	NOUN	0	5	4	0	Universidades federais receberam novos investimentos em pesquisa .
em	ADP	0	5	5	0	Universidades federais receberam novos investimentos em pesquisa .
pesquisa	NOUN	0	5	6	0	Universidades federais receberam novos investimentos em pesquisa .
.	PUNCT	0	5	7	0	Universidades federais receberam novos investimentos em pesquisa .
4	['NOUN', 'ADJ', 'VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[1, 0, 0, 0, 0, 0, 0, 0]	5	4	1	Universidades federais receberam novos investimentos em pesquisa .
A	DET	0	6	0	0	A prefeitura anunciou obras de mobilidade urbana .
prefeitura	NOUN	0	6	1	0	A prefeitura anunciou obras de mobilidade urbana .
anunciou	VERB	0	6	2	0	A prefeitura anunciou obras de mobilidade urbana .
obras	NOUN	0	6	3	0	A prefeitura anunciou obras de mobilidade urbana .
de	ADP	0	6	4	0	A prefeitura anunciou obras de mobilidade urbana .
mobilidade	NOUN	0	6	5	0	A prefeitura anunciou obras de mobilidade urbana .
urbana	ADJ	0	6	6	0	A prefeitura anunciou obras de mobilidade urbana .
.	PUNCT	0	6	7	0	A prefeitura anunciou obras de mobilidade urbana .
5	['DET', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0]	6	5	1	A prefeitura anunciou obras de mobilidade urbana .
Empresas	NOUN	1	7	0	0	Empresas de tecnologia ampliaram vagas para desenvolvedores .
de	ADP	0	7	1	0	Empresas de tecnologia ampliaram vagas para desenvolvedores .
tecnologia	NOUN	0	7	2	0	Empresas de tecnologia ampliaram vagas para desenvolvedores .
ampliaram	VERB	1	7	3	0	Empresas de tecnologia ampliaram vagas para desenvolvedores .
vagas	NOUN	0	7	4	0	Empresas de tecnologia ampliaram vagas para desenvolvedores .
para	ADP	0	7	5	0	Empresas de tecnologia ampliaram vagas para desenvolvedores .
desenvolvedores	NOUN	0	7	6	0	Empresas de tecnologia ampliaram vagas para desenvolvedores .
.	PUNCT	0	7	7	0	Empresas de tecnologia ampliaram vagas para desenvolvedores .
6	['NOUN', 'ADP', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[1, 0, 0, 1, 0, 0, 0, 0]	7	6	1	Empresas de tecnologia ampliaram vagas para desenvolvedores .
O	DET	0	8	0	0	O Ministério da Saúde iniciou nova campanha de vacinação .
Ministério	PROPN	0	8	1	0	O Ministério da Saúde iniciou nova campanha de vacinação .
da	ADP	0	8	2	0	O Ministério da Saúde iniciou nova campanha de vacinação .
Saúde	PROPN	0	8	3	0	O Ministério da Saúde iniciou nova campanha de vacinação .
iniciou	VERB	0	8	4	0	O Ministério da Saúde iniciou nova campanha de vacinação .
nova	ADJ	0	8	5	0	O Ministério da Saúde iniciou nova campanha de vacinação .
campanha	NOUN	0	8	6	0	O Ministério da Saúde iniciou nova campanha de vacinação .
de	ADP	0	8	7	0	O Ministério da Saúde iniciou nova campanha de vacinação .
vacinação	NOUN	1	8	8	0	O Ministério da Saúde iniciou nova campanha de vacinação .
.	PUNCT	0	8	9	0	O Ministério da Saúde iniciou nova campanha de vacinação .
7	['DET', 'PROPN', 'ADP', 'PROPN', 'VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	8	7	1	O Ministério da Saúde iniciou nova campanha de vacinação .
A	DET	0	9	0	0	A Petrobras anunciou aumento na produção de petróleo .
Petrobras	PROPN	0	9	1	0	A Petrobras anunciou aumento na produção de petróleo .
anunciou	VERB	0	9	2	0	A Petrobras anunciou aumento na produção de petróleo .
aumento	NOUN	0	9	3	0	A Petrobras anunciou aumento na produção de petróleo .
na	ADP	0	9	4	0	A Petrobras anunciou aumento na produção de petróleo .
produção	NOUN	0	9	5	0	A Petrobras anunciou aumento na produção de petróleo .
de	ADP	0	9	6	0	A Petrobras anunciou aumento na produção de petróleo .
petróleo	NOUN	0	9	7	0	A Petrobras anunciou aumento na produção de petróleo .
.	PUNCT	0	9	8	0	A Petrobras anunciou aumento na produção de petróleo .
8	['DET', 'PROPN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	9	8	1	A Petrobras anunciou aumento na produção de petróleo .
Especialistas	NOUN	1	10	0	0	Especialistas discutiram inteligência artificial em congresso .
discutiram	VERB	1	10	1	0	Especialistas discutiram inteligência artificial em congresso .
inteligência	NOUN	0	10	2	0	Especialistas discutiram inteligência artificial em congresso .
