Token	POS-Tag	OOV	Id	Index	Documento
O	DET	0	1	0	O Brasil registrou crescimento econômico no último trimestre .
Brasil	PROPN	0	1	1	O Brasil registrou crescimento econômico no último trimestre .
registrou	VERB	0	1	2	O Brasil registrou crescimento econômico no último trimestre .
crescimento	NOUN	0	1	3	O Brasil registrou crescimento econômico no último trimestre .
econômico	ADJ	0	1	4	O Brasil registrou crescimento econômico no último trimestre .
no	ADP	0	1	5	O Brasil registrou crescimento econômico no último trimestre .
último	ADJ	0	1	6	O Brasil registrou crescimento econômico no último trimestre .
trimestre	NOUN	1	1	7	O Brasil registrou crescimento econômico no último trimestre .
.	PUNCT	0	1	8	O Brasil registrou crescimento econômico no último trimestre .
Pesquisadores	NOUN	1	2	0	Pesquisadores desenvolveram uma nova tecnologia para energia solar .
desenvolveram	VERB	0	2	1	Pesquisadores desenvolveram uma nova tecnologia para energia solar .
uma	DET	0	2	2	Pesquisadores desenvolveram uma nova tecnologia para energia solar .
nova	ADJ	0	2	3	Pesquisadores desenvolveram uma nova tecnologia para energia solar .
tecnologia	NOUN	0	2	4	Pesquisadores desenvolveram uma nova tecnologia para energia solar .
para	ADP	0	2	5	Pesquisadores desenvolveram uma nova tecnologia para energia solar .
energia	NOUN	0	2	6	Pesquisadores desenvolveram uma nova tecnologia para energia solar .
solar	ADJ	0	2	7	Pesquisadores desenvolveram uma nova tecnologia para energia solar .
.	PUNCT	0	2	8	Pesquisadores desenvolveram uma nova tecnologia para energia solar .
A	DET	0	3	0	A seleção brasileira venceu a partida por três a zero .
seleção	NOUN	0	3	1	A seleção brasileira venceu a partida por três a zero .
brasileira	ADJ	0	3	2	A seleção brasileira venceu a partida por três a zero .
venceu	VERB	0	3	3	A seleção brasileira venceu a partida por três a zero .
a	DET	0	3	4	A seleção brasileira venceu a partida por três a zero .
partida	NOUN	0	3	5	A seleção brasileira venceu a partida por três a zero .
por	ADP	0	3	6	A seleção brasileira venceu a partida por três a zero .
três	NUM	0	3	7	A seleção brasileira venceu a partida por três a zero .
a	ADP	0	3	8	A seleção brasileira venceu a partida por três a zero .
zero	NUM	0	3	9	A seleção brasileira venceu a partida por três a zero .
.	PUNCT	0	3	10	A seleção brasileira venceu a partida por três a zero .
A	DET	0	4	0	A inflação apresentou queda durante o mês de abril .
inflação	NOUN	0	4	1	A inflação apresentou queda durante o mês de abril .
apresentou	VERB	0	4	2	A inflação apresentou queda durante o mês de abril .
queda	NOUN	0	4	3	A inflação apresentou queda durante o mês de abril .
durante	ADP	0	4	4	A inflação apresentou queda durante o mês de abril .
o	DET	0	4	5	A inflação apresentou queda durante o mês de abril .
mês	NOUN	0	4	6	A inflação apresentou queda durante o mês de abril .
de	ADP	0	4	7	A inflação apresentou queda durante o mês de abril .
abril	NOUN	0	4	8	A inflação apresentou queda durante o mês de abril .
.	PUNCT	0	4	9	A inflação apresentou queda durante o mês de abril .
Universidades	NOUN	1	5	0	Universidades federais receberam novos investimentos em pesquisa .
federais	ADJ	0	5	1	Universidades federais receberam novos investimentos em pesquisa .
receberam	VERB	0	5	2	Universidades federais receberam novos investimentos em pesquisa .
novos	ADJ	0	5	3	Universidades federais receberam novos investimentos em pesquisa .
investimentos	NOUN	0	5	4	Universidades federais receberam novos investimentos em pesquisa .
em	ADP	0	5	5	Universidades federais receberam novos investimentos em pesquisa .
pesquisa	NOUN	0	5	6	Universidades federais receberam novos investimentos em pesquisa .
